MWS_Label
Very High
Very Low
Medium
Very Low
High
Medium
Very High
Low
Medium
Medium
Low
High
Medium
High
Very Low
Low
High
High
High
Medium
Medium
Very Low
Medium
Low
Very Low
Medium
Very Low
Low
Medium
Low
High
High
Low
Very Low
Very Low
Medium
Low
High
High
Very Low
High
Low
Medium
Medium
Low
Medium
Very High
Very High
Low
High
Medium
Medium
Medium
High
Medium
Low
Very Low
Very Low
High
Very High
Low
Medium
Medium
High
Low
Medium
Very Low
Medium
Medium
Low
Very Low
Medium
Medium
Medium
High
Very Low
Medium
Medium
Very Low
Very Low
Medium
Medium
High
Low
Medium
Very High
Low
High
Low
High
Medium
High
Very Low
High
High
Medium
Very Low
Medium
Medium
High
Very Low
Low
High
Medium
High
High
Medium
Very Low
